                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              5.434e-05,              5.434e-05,              5.434e-05
                      2,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00011044,             0.00011044,             0.00011044
                      3,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001654,              0.0001654,              0.0001654
                      4,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021923,             0.00021923,             0.00021923
                      5,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00027193,             0.00027193,             0.00027193
                      6,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00027184,             0.00027184,             0.00027184
                      7,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00026901,             0.00026901,             0.00026901
                      8,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00026618,             0.00026618,             0.00026618
                      9,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00026335,             0.00026335,             0.00026335
                     10,                    nan,                    nan,                    nan,                0.00443,                0.00472,                0.00246,                 0.0014,                    nan,                    nan,                    nan,             0.00026052,             0.00026052,             0.00026052
                     11,                    nan,                    nan,                    nan,                0.00267,                0.00322,                0.00155,                0.00107,                    nan,                    nan,                    nan,             0.00025769,             0.00025769,             0.00025769
                     12,                    nan,                    nan,                    nan,                 0.0015,                0.00172,                0.00087,                0.00052,                    nan,                    nan,                    nan,             0.00025485,             0.00025485,             0.00025485
                     13,                    nan,                    nan,                    nan,                0.00241,                0.00322,                0.00145,                0.00073,                    nan,                    nan,                    nan,             0.00025202,             0.00025202,             0.00025202
                     14,                    nan,                    nan,                    nan,                0.00603,                0.00603,                0.00382,                0.00167,                    nan,                    nan,                    nan,             0.00024919,             0.00024919,             0.00024919
                     15,                    nan,                    nan,                    nan,                0.00235,                0.00322,                0.00136,                0.00057,                    nan,                    nan,                    nan,             0.00024636,             0.00024636,             0.00024636
                     16,                    nan,                    nan,                    nan,                0.00214,                0.00322,                0.00119,                0.00029,                    nan,                    nan,                    nan,             0.00024353,             0.00024353,             0.00024353
                     17,                    nan,                    nan,                    nan,                0.00215,                0.00322,                0.00128,                0.00036,                    nan,                    nan,                    nan,              0.0002407,              0.0002407,              0.0002407
                     18,                    nan,                    nan,                    nan,                0.00157,                0.00172,                0.00127,                0.00038,                    nan,                    nan,                    nan,             0.00023787,             0.00023787,             0.00023787
                     19,                    nan,                    nan,                    nan,                0.00181,                0.00172,                0.00139,                0.00042,                    nan,                    nan,                    nan,             0.00023503,             0.00023503,             0.00023503
                     20,                    nan,                    nan,                    nan,                0.00164,                0.00172,                0.00105,                0.00031,                    nan,                    nan,                    nan,              0.0002322,              0.0002322,              0.0002322
                     21,                    nan,                    nan,                    nan,                0.00144,                0.00172,                0.00147,                0.00044,                    nan,                    nan,                    nan,             0.00022937,             0.00022937,             0.00022937
                     22,                    nan,                    nan,                    nan,                0.00164,                0.00172,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00022654,             0.00022654,             0.00022654
                     23,                    nan,                    nan,                    nan,                0.00731,                0.00753,                0.00458,                0.00205,                    nan,                    nan,                    nan,             0.00022371,             0.00022371,             0.00022371
                     24,                    nan,                    nan,                    nan,                0.00223,                0.00322,                0.00149,                0.00048,                    nan,                    nan,                    nan,             0.00022088,             0.00022088,             0.00022088
                     25,                    nan,                    nan,                    nan,                0.00783,                0.00753,                0.00456,                0.00203,                    nan,                    nan,                    nan,             0.00021805,             0.00021805,             0.00021805
                     26,                    nan,                    nan,                    nan,                0.00778,                0.00753,                0.00443,                0.00192,                    nan,                    nan,                    nan,             0.00021521,             0.00021521,             0.00021521
                     27,                    nan,                    nan,                    nan,                0.00274,                0.00472,                0.00162,                0.00051,                    nan,                    nan,                    nan,             0.00021238,             0.00021238,             0.00021238
                     28,                    nan,                    nan,                    nan,                 0.0015,                0.00172,                0.00103,                0.00021,                    nan,                    nan,                    nan,             0.00020955,             0.00020955,             0.00020955
                     29,                    nan,                    nan,                    nan,                0.00157,                0.00172,                0.00101,                 0.0002,                    nan,                    nan,                    nan,             0.00020672,             0.00020672,             0.00020672
                     30,                    nan,                    nan,                    nan,                0.00144,                0.00172,                  0.001,                 0.0003,                    nan,                    nan,                    nan,             0.00020389,             0.00020389,             0.00020389
                     31,                    nan,                    nan,                    nan,                0.00133,                0.00172,                0.00141,                0.00056,                    nan,                    nan,                    nan,             0.00020106,             0.00020106,             0.00020106
                     32,                    nan,                    nan,                    nan,                0.00164,                0.00172,                0.00156,                0.00063,                    nan,                    nan,                    nan,             0.00019823,             0.00019823,             0.00019823
                     33,                    nan,                    nan,                    nan,                0.00657,                0.00603,                0.00405,                0.00167,                    nan,                    nan,                    nan,              0.0001954,              0.0001954,              0.0001954
                     34,                    nan,                    nan,                    nan,                0.00569,                0.00603,                0.00355,                0.00146,                    nan,                    nan,                    nan,             0.00019256,             0.00019256,             0.00019256
                     35,                    nan,                    nan,                    nan,                 0.0015,                0.00172,                0.00124,                0.00025,                    nan,                    nan,                    nan,             0.00018973,             0.00018973,             0.00018973
                     36,                    nan,                    nan,                    nan,                0.00725,                0.00603,                0.00429,                0.00187,                    nan,                    nan,                    nan,              0.0001869,              0.0001869,              0.0001869
                     37,                    nan,                    nan,                    nan,                0.00643,                0.00603,                0.00411,                0.00179,                    nan,                    nan,                    nan,             0.00018407,             0.00018407,             0.00018407
                     38,                    nan,                    nan,                    nan,                0.00383,                0.00431,                0.00254,                0.00127,                    nan,                    nan,                    nan,             0.00018124,             0.00018124,             0.00018124
                     39,                    nan,                    nan,                    nan,                0.00517,                0.00603,                0.00317,                0.00121,                    nan,                    nan,                    nan,             0.00017841,             0.00017841,             0.00017841
                     40,                    nan,                    nan,                    nan,                0.00588,                0.00603,                 0.0035,                0.00139,                    nan,                    nan,                    nan,             0.00017558,             0.00017558,             0.00017558
                     41,                    nan,                    nan,                    nan,                0.00645,                0.00753,                0.00448,                0.00178,                    nan,                    nan,                    nan,             0.00017274,             0.00017274,             0.00017274
                     42,                    nan,                    nan,                    nan,                0.00533,                0.00603,                 0.0034,                0.00136,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     43,                    nan,                    nan,                    nan,                0.00383,                0.00431,                0.00239,                 0.0012,                    nan,                    nan,                    nan,             0.00016708,             0.00016708,             0.00016708
                     44,                    nan,                    nan,                    nan,                0.00345,                0.00431,                0.00212,                0.00106,                    nan,                    nan,                    nan,             0.00016425,             0.00016425,             0.00016425
                     45,                    nan,                    nan,                    nan,                0.00588,                0.00603,                0.00364,                0.00146,                    nan,                    nan,                    nan,             0.00016142,             0.00016142,             0.00016142
                     46,                    nan,                    nan,                    nan,                0.00657,                0.00603,                0.00419,                0.00174,                    nan,                    nan,                    nan,             0.00015859,             0.00015859,             0.00015859
                     47,                    nan,                    nan,                    nan,                0.00591,                0.00753,                0.00335,                0.00121,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     48,                    nan,                    nan,                    nan,                0.00202,                0.00322,                 0.0012,                0.00041,                    nan,                    nan,                    nan,             0.00015292,             0.00015292,             0.00015292
